\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   131.5117986  5.3230993e-04  
 0   131.5322331  1.2432307e-04  
 0   131.5526676  -8.8414026e-04 
 0   131.5731019  -9.8355906e-04 
 0   131.5935363  -1.0061567e-03 
 0   131.6139708  1.2205458e-04  
 0   131.6344051  2.6566064e-04  
 0   131.6548395  9.3738141e-05  
 0   131.6752740  -5.7965663e-04 
 0   131.6957084  -1.7105423e-04 
 0   131.7161428  -4.7487672e-04 
 0   131.7365772  -1.5102928e-04 
 0   131.7570117  5.0035840e-05  
 0   131.7774460  -3.0507823e-04 
 0   131.7978804  -3.8515669e-04 
 0   131.8183149  1.5306256e-04  
 0   131.8387492  1.5241087e-04  
 0   131.8591836  8.2183586e-05  
 0   131.8796180  1.1735336e-04  
 0   131.9000525  5.1693723e-04  
 0   131.9204869  -4.8534646e-05 
 0   131.9409213  4.8333337e-04  
 0   131.9613557  -5.5401766e-04 
 0   131.9817901  -6.2178813e-05 
 0   132.0022245  -1.0185755e-03 
 0   132.0226588  -5.1061460e-04 
 0   132.0430933  -1.1145038e-03 
 0   132.0635277  -3.8516955e-04 
 0   132.0839621  -4.7475714e-04 
 0   132.1043965  -7.7222573e-04 
 0   132.1248310  4.9992488e-04  
 0   132.1452653  6.8103393e-05  
 0   132.1656997  -3.5120503e-04 
 0   132.1861342  -1.1476522e-05 
 0   132.2065686  7.7884295e-05  
 0   132.2270029  4.4659871e-05  
 0   132.2474374  4.1557829e-05  
 0   132.2678719  1.4072035e-04  
 0   132.2883062  -1.6874626e-04 
 0   132.3087406  -3.3824740e-04 
 0   132.3291751  2.0220490e-04  
 0   132.3496094  -6.4338157e-05 
 0   132.3700438  -9.2967658e-04 
 0   132.3904782  -1.8057165e-04 
 0   132.4109126  -1.8217495e-04 
 0   132.4313471  6.6889501e-05  
 0   132.4517815  1.0995680e-04  
 0   132.4722160  -3.0432144e-04 
 0   132.4926503  2.1693076e-04  
 0   132.5130847  3.8358103e-04  
 0   132.5335190  -5.4613978e-04 
 0   132.5539535  -3.3979994e-04 
 0   132.5743879  -4.0310010e-04 
 0   132.5948222  6.1773160e-04  
 0   132.6152568  -9.6429884e-04 
 0   132.6356912  1.5553013e-04  
 0   132.6561256  1.5049348e-04  
 0   132.6765599  -2.7483809e-04 
 0   132.6969944  -2.6192490e-04 
 0   132.7174288  -1.0239845e-03 
 0   132.7378631  -1.4263007e-04 
 0   132.7582976  3.0116373e-04  
 0   132.7787320  -3.1159632e-04 
 0   132.7991664  2.9673858e-04  
 0   132.8196008  1.8045332e-05  
 0   132.8400353  6.5797605e-05  
 0   132.8604696  1.9055225e-04  
 0   132.8809040  1.7926746e-04  
 0   132.9013385  -3.8290361e-04 
 0   132.9217728  -9.8414566e-05 
 0   132.9422072  1.5109425e-04  
 0   132.9626416  2.6025245e-04  
 0   132.9830762  2.3228599e-04  
 0   133.0035105  -2.4017086e-04 
 0   133.0239449  3.0578670e-04  
 0   133.0443793  8.6623622e-05  
 0   133.0648137  -2.7433690e-04 
 0   133.0852481  -5.2973768e-04 
 0   133.1056825  1.5121394e-04  
 0   133.1261169  2.6859069e-04  
 0   133.1465513  5.1000144e-04  
 0   133.1669858  7.5007172e-04  
 0   133.1874202  -3.9442134e-04 
 0   133.2078547  6.7088247e-04  
 0   133.2282890  -6.2717521e-04 
 0   133.2487234  3.4487122e-04  
 0   133.2691578  -3.6498765e-05 
 0   133.2895922  2.6751566e-04  
 0   133.3100266  -4.5067287e-04 
 0   133.3304609  6.8758952e-04  
 0   133.3508955  3.1484955e-04  
 0   133.3713299  -9.9606882e-04 
 0   133.3917643  -1.6382136e-04 
 0   133.4121987  -9.4236399e-04 
 0   133.4326331  2.3461238e-04  
 0   133.4530675  -1.1883948e-03 
 0   133.4735018  -6.3816129e-05 
 0   133.4939363  -2.7127165e-04 
 0   133.5143707  2.5310565e-04  
 0   133.5348050  4.1426807e-05  
 0   133.5552396  -1.4238822e-04 
 0   133.5756740  8.4195787e-04  
 0   133.5961083  8.8507758e-04  
 0   133.6165427  5.9958320e-04  
 0   133.6369772  -2.7154176e-04 
 0   133.6574116  3.8902604e-04  
 0   133.6778459  -4.0038815e-04 
 0   133.6982804  2.7900934e-04  
 0   133.7187148  3.9563386e-04  
 0   133.7391492  -1.1372939e-04 
 0   133.7595836  -6.9384048e-05 
 0   133.7800181  3.3008633e-05  
 0   133.8004524  3.0208897e-04  
 0   133.8208868  -3.4588616e-04 
 0   133.8413212  3.9050844e-04  
 0   133.8617556  5.0091057e-04  
 0   133.8821900  3.8879161e-04  
 0   133.9026244  -2.9171610e-04 
 0   133.9230588  1.0108672e-03  
 0   133.9434933  4.6119763e-04  
 0   133.9639277  1.3733798e-03  
 0   133.9843620  -1.0763040e-03 
 0   134.0047965  1.1681119e-04  
 0   134.0252309  -2.0442868e-04 
 0   134.0456652  -2.5291598e-05 
 0   134.0660997  -1.0274032e-03 
 0   134.0865341  -1.3428676e-04 
 0   134.1069684  -2.6702799e-04 
 0   134.1274029  3.0142150e-04  
 0   134.1478374  6.0106401e-04  
 0   134.1682718  -1.4311328e-04 
 0   134.1887061  -1.1277015e-04 
 0   134.2091406  -5.8004173e-04 
 0   134.2295750  -3.2429636e-04 
 0   134.2500093  -1.3099364e-03 
 0   134.2704437  -2.5101600e-04 
 0   134.2908782  -2.4218288e-04 
 0   134.3113125  3.0158521e-04  
 0   134.3317470  2.5762271e-04  
 0   134.3521815  -4.2389444e-04 
 0   134.3726158  -2.5275585e-04 
 0   134.4134846  1.0347291e-03  
 0   134.4339190  1.5538336e-06  
 0   134.4543534  2.0897321e-03  
 0   134.4747878  -1.2656341e-04 
 0   134.4952223  -3.8959802e-04 
 0   134.5156566  1.0775875e-03  
 0   134.5360911  -7.6812299e-05 
 0   134.5565254  -3.6973253e-04 
 0   134.5769599  6.0659001e-04  
 0   134.5973943  1.5477957e-04  
 0   134.6178286  4.0367988e-04  
 0   134.6382630  9.5863215e-04  
 0   134.6586975  -4.8930169e-04 
 0   134.6791319  6.6180172e-04  
 0   134.6995663  9.3375641e-04  
 0   134.7200007  -1.0335371e-04 
 0   134.7404351  2.8879548e-04  
 0   134.7608695  3.0996909e-04  
 0   134.7813039  -3.1679519e-04 
 0   134.8017384  1.2259446e-03  
 0   134.8221728  9.3743663e-05  
 0   134.8426071  -3.0526691e-04 
 0   134.8630416  8.6718507e-07  
 0   134.8834760  1.0574963e-04  
 0   134.9039104  6.2359712e-04  
 0   134.9243447  1.2252331e-04  
 0   134.9447792  5.3568627e-04  
 0   134.9652137  -8.1979371e-05 
 0   134.9856480  8.0665588e-05  
 0   135.0060825  4.0843876e-04  
 0   135.0265169  3.5705685e-04  
 0   135.0469512  -1.3770027e-03 
 0   135.0673856  -2.6837495e-04 
 0   135.0878201  -6.5139780e-04 
 0   135.1082544  -1.6021841e-04 
 0   135.1286888  -1.7040908e-04 
 0   135.1491233  -1.4919887e-05 
 0   135.1695577  -4.1390950e-04 
 0   135.1899921  -7.7028159e-04 
 0   135.2104265  4.7847209e-04  
 0   135.2308610  8.6723339e-05  
 0   135.2512953  1.7567098e-04  
 0   135.2717297  -2.4650019e-04 
 0   135.2921640  -3.7140260e-04 
 0   135.3125985  -4.8490911e-04 
 0   135.3330329  -6.1272475e-04 
 0   135.3534672  -7.1900320e-04 
 0   135.3739017  1.0377324e-04  
 0   135.3943361  -4.0162422e-04 
 0   135.4147706  1.2617459e-04  
 0   135.4352049  7.7988690e-04  
 0   135.4556394  -2.4253505e-04 
 0   135.4760738  3.0361631e-04  
 0   135.4965081  3.9627284e-04  
 0   135.5169426  2.3005124e-04  
 0   135.5373770  -7.8238496e-05 
 0   135.5578113  9.7841001e-04  
 0   135.5782457  7.1187201e-04  
 0   135.5986802  2.8839999e-05  
 0   135.6191145  1.0726144e-05  
 0   135.6395490  -4.7209961e-04 
 0   135.6599835  6.6984392e-04  
 0   135.6804179  3.9477993e-04  
 0   135.7008522  -9.1796588e-05 
 0   135.7212866  3.4043606e-04  
 0   135.7417211  6.7937341e-05  
 0   135.7621554  -3.3728563e-04 
 0   135.7825898  -7.1883383e-05 
 0   135.8030243  -4.5834802e-04 
 0   135.8234586  8.0394029e-04  
 0   135.8438930  -1.8822498e-04 
 0   135.8643274  4.4334840e-04  
 0   135.8847619  1.4272216e-04  
 0   135.9051963  -4.9140886e-04 
 0   135.9256307  -4.8317115e-06 
 0   135.9460650  -7.5619767e-04 
 0   135.9664995  -1.4096549e-05 
 0   135.9869339  -1.2229520e-04 
 0   136.0073682  1.0713574e-03  
 0   136.0278027  -1.0322862e-03 
 0   136.0482371  3.4395698e-04  
 0   136.0686714  -9.2680755e-05 
 0   136.0891058  -1.7449213e-04 
 0   136.1095403  -4.9420126e-04 
 0   136.1299748  3.9710192e-04  
 0   136.1504091  -8.8945683e-04 
 0   136.1708436  -2.1045627e-05 
 0   136.1912780  8.3913049e-04  
 0   136.2117123  2.3076143e-04  
 0   136.2321467  1.0011835e-03  
 0   136.2525812  5.5223971e-04  
 0   136.2730155  -9.9507230e-04 
 0   136.2934499  -1.5856746e-04 
 0   136.3138844  -1.3915211e-04 
 0   136.3343187  -2.5132645e-04 
 0   136.3547531  -1.5918032e-04 
 0   136.3751875  1.3264966e-04  
 0   136.3956220  5.7532729e-05  
 0   136.4160564  7.0263492e-04  
 0   136.4364908  -3.1009014e-04 
 0   136.4569253  9.9436590e-04  
 0   136.4773596  -4.2367057e-04 
 0   136.4977940  -4.2457916e-04 
 0   136.5182284  2.9501680e-04  
 0   136.5386628  -7.6160539e-04 
 0   136.5590972  1.4449738e-04  
 0   136.5795316  -4.4383557e-04 
 0   136.5999660  -7.0936274e-04 
 0   136.6204004  -1.0098725e-04 
 0   136.6408348  1.5838021e-04  
 0   136.6612693  -4.7146346e-05 
 0   136.6817037  2.2624827e-04  
 0   136.7021381  -7.4142212e-05 
 0   136.7225725  2.3588698e-04  
 0   136.7430068  -2.2957219e-04 
 0   136.7634413  1.3328617e-04  
 0   136.7838757  6.0308717e-05  
 0   136.8043100  1.1833315e-06  
 0   136.8247445  6.5677462e-04  
 0   136.8451789  5.7734349e-05  
 0   136.8656133  -4.0609148e-04 
 0   136.8860476  3.5758788e-04  
 0   136.9064821  2.7454205e-04  
