\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   131.5324289  -5.4292443e-05 
 0   131.5528634  -1.3597628e-05 
 0   131.5732978  -1.9287260e-04 
 0   131.5937323  -2.4968258e-05 
 0   131.6141668  -1.8006922e-05 
 0   131.6346012  -6.8328081e-05 
 0   131.6550357  -5.5307723e-05 
 0   131.6754702  4.9355654e-05  
 0   131.6959047  -6.4057109e-05 
 0   131.7163391  -2.1887204e-04 
 0   131.7367736  -3.8725685e-04 
 0   131.7572081  -2.6296562e-05 
 0   131.7776425  -6.6483364e-05 
 0   131.7980770  -1.9746744e-04 
 0   131.8185116  -2.9190234e-04 
 0   131.8389459  -1.0869971e-04 
 0   131.8593804  -8.5392210e-05 
 0   131.8798149  -1.6717818e-04 
 0   131.9002493  7.3395284e-05  
 0   131.9206838  -2.9127192e-04 
 0   131.9411183  3.7512535e-05  
 0   131.9615528  -9.1661233e-05 
 0   131.9819872  3.1130346e-06  
 0   132.0024217  1.6502208e-04  
 0   132.0228561  1.4321036e-04  
 0   132.0432906  -1.2680273e-05 
 0   132.0637251  -1.4395644e-04 
 0   132.0841595  1.4712858e-04  
 0   132.1045940  2.7798333e-05  
 0   132.1250285  2.0176909e-04  
 0   132.1454629  -2.5427296e-06 
 0   132.1658974  8.4182924e-05  
 0   132.1863319  1.8365141e-04  
 0   132.2067664  6.7051638e-05  
 0   132.2272008  2.4251187e-05  
 0   132.2476353  5.2559997e-05  
 0   132.2680698  5.2556396e-05  
 0   132.2885042  1.2725678e-04  
 0   132.3089387  -2.0045709e-05 
 0   132.3293733  -1.2745267e-04 
 0   132.3498076  3.7117610e-05  
 0   132.3702421  2.6135150e-04  
 0   132.3906766  9.6007534e-05  
 0   132.4111110  1.5328218e-04  
 0   132.4315455  1.6208881e-04  
 0   132.4519800  1.1450436e-04  
 0   132.4724146  3.0489988e-04  
 0   132.4928489  2.0545167e-04  
 0   132.5132834  6.0403530e-05  
 0   132.5337178  9.9135286e-05  
 0   132.5541523  1.7033468e-04  
 0   132.5745868  -1.5349351e-04 
 0   132.5950212  2.7039985e-04  
 0   132.6154557  8.7308043e-05  
 0   132.6358902  2.6485912e-04  
 0   132.6563247  -2.5581036e-05 
 0   132.6767591  3.2057491e-04  
 0   132.6971936  1.8411315e-04  
 0   132.7176281  8.8345892e-05  
 0   132.7380625  -7.0046981e-06 
 0   132.7584970  6.1165865e-06  
 0   132.7789315  -8.0793550e-05 
 0   132.7993659  6.3030304e-05  
 0   132.8198004  -6.2722167e-05 
 0   132.8402349  1.8741783e-04  
 0   132.8606693  4.8530892e-05  
 0   132.8811038  1.4832261e-04  
 0   132.9015383  -5.2862513e-05 
 0   132.9219727  -7.6460310e-05 
 0   132.9424072  2.0523898e-04  
 0   132.9628417  -2.0828875e-04 
 0   132.9832762  -3.0000392e-05 
 0   133.0037106  3.7009936e-06  
 0   133.0241451  1.1197428e-04  
